path,schema_version,protocol,status,evidence_class,phase,model,gpu,races,turns,completed_utc,sha256
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R1_R6/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,8885d34b6e9bbc30d89653769215f1db3822ec2f0011fc8c10999037dd74f9a6
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R2_R1/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,a456e65bf3d8c236a971b498ff7fe9511ccf61758f3752aea190c6c564a546bf
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R2_R2/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,6fb59577526724021b3d34c8174feac58dce01aaa690f3b8dca2b63cffcf17fa
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R2_R3/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,6e2745f359a3bb1da14c51063ef07fd752b40c73245e9f623a1a1a79ffc35d78
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R2_R4/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,923f469c4fdee57b08a6675c00076ac825192ff07d7c07cfc364516d13358caf
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R2_R5/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,44731d3e30be1b73972cf01c83ee5e25c748cea2b173842d97da4d9aa0288e1f
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R2_R6/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,6861c11bdcae82cd6609c0b12e1bbe9071328071e7628f4fdcc81e533110aa7a
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R3_R1/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,7db9fd2c6855e4297e43ca12ae289295409905f2d2d9076e76269ab9e5755e88
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R3_R2/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,a1c7c6fd1ac41914b650b9a02b2265856d4d55abe2ad8beb46b44f9102f9ae52
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R3_R3/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,2eb6f05a3f3a22b1b6ee7a2a05211a46ad7486e8e2dbfbe757ebbea45cd40053
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R3_R4/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,f45871f91872b9d87af1e04cdc0e0d0d59885a65cfbc718e9d0fc698a9b8bbd8
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R3_R5/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,bd965ba73e89685473d29e1ee698e45ba6834da5495f7010a3cecc5cf8cb93b7
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R3_R6/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,b19c3fd31948a3c700dea6b40d0e94e968a581eeecbc9698cde5ec3c9936d1f1
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R4_R1/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,165d24e8b9f9ca4c1e154f32ae26e62cd11248c143e06f0ef225f818f203fddd
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R4_R2/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,f8633d5acf2e94ff94e166a9170ca699e46df9f247baeb45ccd61bd98ce69a11
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R4_R3/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,807b447a184f1b4cfeffece3a81656f1b04b0378ace03fef209b9bf83de683cb
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R4_R4/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,cc2378a0ae9ca28646dcd40048524e4f18638a5f75620e2ede391fda759e88be
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R4_R5/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,beb17b7b4d5ae6c7712f252823f473c25c4b9d821e2fdd328eb5c7d1493cbcb7
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R4_R6/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,9f9b53b5cec0b7b6c2fef522f9bdb48e5d02983ef19831b50669123bc630508e
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R5_R1/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,b0139cb48ee6b85dea53fe73e851b8d78767ddacf7434bcfcdd515e3707fae81
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R5_R2/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,84a923a623f0ecab9840cbf87499e267cb521781fd08f4a9217e161bc128ea76
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R5_R3/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,b0b145f6bf0757ed640b88c1ec75a97d11dddd750a753b491c23a0dee8d010c6
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R5_R4/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,731c9a5f89337a6d86d4604bff8db94b752d603f188700258a5bdfa5525ce443
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R5_R5/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,a1dc97675b411df43757353d84a33a838f5fb0f3c7871372d49f352191b71fe5
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R5_R6/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,ae72f81616eb29bfd47918c7807ad032212e3c16b5947514c63c677bb89a29d4
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R6_R1/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,47724ac4d772bea4776a7494d75064cd4022d290f27b714655efd7b6cb7d196b
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R6_R2/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,5c490e7a050e1002604856b813a6c39860357c637cf469eb393fb8d3b08bd316
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R6_R3/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,aead892633bdcea166b5bef6b92f1d44a967b5d19dcbf8b56c62ae8621d0a3ae
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R6_R4/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,9536a13de54eccf5dc2c9a6ff330c2b675d6786eea2b6c00843a058ef9fd0473
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R6_R5/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,cbbd814627d9f32bd35aca263ee682b8eddc47bcc13ccc3f69829f391402802c
results/frontier/bedrock_mantle/luna/persona/risk_matrix/R6_R6/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,c069b35d4693d564bea1393bac5c873c9633a39e8fae98cf79b638590dfd15f0
results/frontier/bedrock_mantle/luna/persona/Rminus_risk_averse/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,b2713a778eda7a88d41211280dac731fbaf752b68dab2def6d26aaef108838e1
results/frontier/bedrock_mantle/luna/persona/Rplus_risk_seeking/openai.gpt-5.6-luna/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-luna,,30,558,,924576a7c960b0a76b854bb751409d1eeec56d13be0341f4c3dd37769b623c8a
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R1_R1/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,89d4bca5a5b731fb7bfd13b75bde402746f2a773831cafe9607a17f15624aa8f
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R1_R2/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,e7a483331482db943fca4a29af29c63cb79c61616c69fbd3563580f4590f289a
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R1_R3/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,d384a003dff5a94f43b827eeeff050624571d30244a8e4368805b5893e34c97c
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R1_R4/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,87dabd57646980d72f2e94f9b004d23f9d1e5c3895d16b527a99250f47290e46
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R1_R5/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,74a13b0b5a576ab3a9907164e4890c74b7480b3ace9a6d9d89a4209ca9276d48
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R1_R6/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,2001a3d45097042d1a17943938c9c5f84026ebf869f910121293dbbd0fdf9680
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R2_R1/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,e03730017c3e51334f69da9c95b636a751bef466b0757c3f4aab6538bcab6819
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R2_R2/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,dae024f8ad984f786b9d6b0b3bd7f63e10c4503c15f121382ba4126a8a26dcba
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R2_R3/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,a26d5a4bd6afa522b557075e689b4df1d6ee297bbe79403c531cf0c72ab4e335
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R2_R4/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,b5067e86f3f142464b1cdee459cc6213b2bd9a22bcd8aee7d61ac33dea8e8a1f
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R2_R5/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,7cdc5b883bad671ea04c9ad33bc25743cad12afe32ff0b8b4dd8a22cfc32fc5c
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R2_R6/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,ca9a4597cf480d57f57b8330dbc7ab8cbd37018f63ed5e37b7c56b4fa84a9619
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R3_R1/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,043bc7de0d85d53bc38508a0f9b6977786d624479fc0f97319dc5615267f6cb2
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R3_R2/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,e24c3b863389d9c4a2885173f5d03cc3773c8d84239d6846e3abb8260387b9c1
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R3_R3/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,e9cb41b2dc0d14a39a24baadcd00c395a2a458460e77e489cf704628290bfca2
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R3_R4/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,434801005fb73bf679d9689ae428882c495e78624aad86257c282f8f43bd342a
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R3_R5/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,d696ef283700590d90d3b51087e84e1951c4679640f8c72b66ad71e46c6e5c40
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R3_R6/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,16dd2f6a16706a64522b36d0622538a48c6c1c213d1e2391d172ca79449bf8de
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R4_R1/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,b72f6f9a0cbd15833a47b7ed905555dbac46cc74528a21edc72174e3370a34c3
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R4_R2/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,e853b2cdb20f47de76ab9a2c491b61473daf978341809605f20f5aaef95de340
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R4_R3/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,1552ad40829585c5b2a334a8963b3ee462c680be8e9ad247006ea7f003c3675f
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R4_R4/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,c05c9b1586f966056163d487f07903c31932350f717813f31bc1547f96f838e2
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R4_R5/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,4cead6afdf4712f050b8a0fb3e4c0a2187192ea258445cfe99dc9fd193c5dd4c
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R4_R6/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,2e91f7e471ad820139f8546ca48a121667c486ee54ea93fa966553980f0e9d32
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R5_R1/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,3dba93dc81395142773ee3270b8ac595da2518566cb06528777eedb1fa787af2
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R5_R2/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,db9608da9d2013d8f011a2abe5b4677aeb08117b4d2d8ffd93d82620a4ec3302
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R5_R3/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,070dda3e203e8541f799715390e93d6a21df2ec657c9d784f7b488038f6d4919
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R5_R4/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,1d0e13625692fed8c53c1be9500818c74b098af4aab15d43db7db622cdcee7e9
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R5_R5/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,bed34b5f5014b21467749820449fc52d943ba509d73e6f9462b7c1ba88bd0d5a
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R5_R6/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,e7c33f6adfbdfd487c32294d14820cc18ec5422c15781146a6e68c04d2ad1755
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R6_R1/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,083cefab251dc8c939d73663077243f45b4a4426373d906874cf01ea9a869365
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R6_R2/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,925174de7ac9086daca4cf822b7c16b9df95d0e3bbd632d1ac8e7fb797350546
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R6_R3/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,350aef17673931926e9303e38eb06b5180f291ea06e853caf85a5eebdc7f6f4f
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R6_R4/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,1f83d03c2554e960f6c9a2e0a1a4d9f48995ff02178b420c9c1030f8468f57e7
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R6_R5/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,d767a5d088242864b895d33e6d4c24a03e88ee068e80b8d00806255b66e7b83e
results/frontier/bedrock_mantle/terra/persona/risk_matrix/R6_R6/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,86158d2deaccbde594322506801b0b76429de6412c4d5e1449a3c337af89e157
results/frontier/bedrock_mantle/terra/persona/Rminus_risk_averse/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,239b87a263f0806625e63319840f210bc6c552036b5bf14d5c5dba8ede520a07
results/frontier/bedrock_mantle/terra/persona/Rplus_risk_seeking/openai.gpt-5.6-terra/run_manifest.json,ai-race-proxy-run-v1,,completed,pilot,pilot,openai.gpt-5.6-terra,,30,558,,cd2dd83a62cea89c85b40be3dbe2deafee8c7b2341ee5784704b982fd93782f6
results/frontier/nvidia/baseline/deepseek-ai-deepseek-v4-flash/run_manifest.json,ai-race-results-v1,,failed,failed-or-incomplete,pilot,deepseek-ai/deepseek-v4-flash,,0,0,,b0c8f7e9c1195441b85a6b6af882bf660c35875d596553032cf90fdcc6cef7b4
results/frontier/nvidia/persona/R0_neutral/deepseek-ai-deepseek-v4-flash/run_manifest.json,ai-race-results-v1,,running,unclassified,pilot,deepseek-ai/deepseek-v4-flash,,0,0,,d2909bb3534d2af8fe476bf379b733402210f9420676dbb087ff5f9b0c0f25b5
results/frontier/openai/baseline/gpt-5-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5-nano,,30,558,,7351ccb10aed82e4055b6c053e74317ac73bef576bbc05d390c5dd3b03e07983
results/frontier/openai/baseline/gpt-5.4-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5.4-nano,,30,558,,3990cc276c7ae7f6e1e251fc52ffc2140a097980c077409514b7191edef298ea
results/frontier/openai/persona/R0_neutral/gpt-5-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5-nano,,30,558,,29969b848e986aaa043441e108559e498f429f307875782b8c30bb5a16cfad8b
results/frontier/openai/persona/R0_neutral/gpt-5.4-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5.4-nano,,30,558,,9f57505c513b0fee156678dd21e3360582abc5c4d3977eeab974573225f452d6
results/frontier/openai/persona/risk_matrix/R1_R1/gpt-5-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5-nano,,30,558,,90ab2853fbaec19a7daed6e00f5d78d9c4b7d76e07e265875fcdb1cfd1d62537
results/frontier/openai/persona/risk_matrix/R1_R1/gpt-5.4-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5.4-nano,,30,558,,b77b294eaeb69ede3ef9930bab185d060224487a3547d766c380728d4ceb10b8
results/frontier/openai/persona/risk_matrix/R1_R2/gpt-5-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5-nano,,30,558,,006c626f1dafbebbaacc69da5753fd0462443696d28685a3dc1a3a0a5cfdb1f9
results/frontier/openai/persona/risk_matrix/R1_R2/gpt-5.4-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5.4-nano,,30,558,,d66b4b6001841027e977f7961490c042ef19b6b08c5da378f44714608440650d
results/frontier/openai/persona/risk_matrix/R1_R3/gpt-5-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5-nano,,30,558,,9ecd6334ab8b84f6f739f94ab6728ba023d3b7e7c5e477be5dea505334bdb5d6
results/frontier/openai/persona/risk_matrix/R1_R3/gpt-5.4-nano/run_manifest.json,ai-race-results-v1,,completed,pilot,pilot,gpt-5.4-nano,,30,558,,f87dbd93817b92df61fc3c6ff27a3192bc17217d687294be44acc562ba06cd5e
